id,amazon_sku,channel_id,linnworks_code,price_uk,sale_price_uk,price_fr,sale_price_fr,price_de,sale_price_de,price_es,sale_price_es,price_ebay,sale_price_ebay,price_cdiscount,sale_price_cdiscount,prime_date,error
2,1101,2,1101,,,44.99,34.99,,,,,,,,,NULL,NULL
3,1101,3,1101,,,,,44.99,34.99,,,,,,,NULL,NULL
5,1101_FBA,1,1101,34.99,29.99,,,,,,,,,,,NULL,NULL
7,1102,2,1102,,,59.99,44.99,,,,,,,,,NULL,NULL
8,1102,3,1102,,,,,59.99,44.99,,,,,,,NULL,NULL
9,1102_FBA,1,1102,44.99,39.99,,,,,,,,,,,NULL,NULL
11,1103,2,1103,,,69.99,54.99,,,,,,,,,NULL,NULL
12,1103,3,1103,,,,,69.99,54.99,,,,,,,NULL,NULL
14,1103_FBA,1,1103,54.99,44.99,,,,,,,,,,,NULL,NULL
16,1104,2,1104,,,84.99,59.99,,,,,,,,,NULL,NULL
17,1104,3,1104,,,,,84.99,59.99,,,,,,,NULL,NULL
18,1104.5,1,1104,64.99,44.99,,,,,,,,,,,NULL,NULL
19,1104_FBA,1,1104,64.99,49.99,,,,,,,,,,,NULL,NULL
21,1105,2,1105,,,64.99,39.99,,,,,,,,,NULL,NULL
22,1105,3,1105,,,,,64.99,39.99,,,,,,,NULL,NULL
23,1105.7,1,1105,49.99,29.99,,,,,,,,,,,NULL,NULL
24,1105_FBA,1,1105,49.99,34.99,,,,,,,,,,,NULL,NULL
25,1106.4,1,1106,59.99,39.99,,,,,,,,,,,NULL,NULL
26,1106,2,1106,,,79.99,54.99,,,,,,,,,NULL,NULL
27,1106,3,1106,,,,,79.99,54.99,,,,,,,NULL,NULL
28,1106_FBA,1,1106,59.99,44.99,,,,,,,,,,,NULL,NULL
30,1107,2,1107,,,89.99,59.99,,,,,,,,,NULL,NULL
31,1107,3,1107,,,,,89.99,59.99,,,,,,,NULL,NULL
32,1107.4,1,1107,69.99,44.99,,,,,,,,,,,NULL,NULL
33,1107_FBA,1,1107,69.99,49.99,,,,,,,,,,,NULL,NULL
35,1108,2,1108,,,104.99,69.99,,,,,,,,,NULL,NULL
36,1108,3,1108,,,,,104.99,69.99,,,,,,,NULL,NULL
37,1108.4,1,1108,79.99,49.99,,,,,,,,,,,NULL,NULL
38,1108_FBA,1,1108,79.99,54.99,,,,,,,,,,,NULL,NULL
39,1109,1,1109,49.99,34.99,,,,,,,,,,,NULL,NULL
40,1109,2,1109,,,69.99,49.99,,,,,,,,,NULL,NULL
41,1109,3,1109,,,,,69.99,49.99,,,,,,,NULL,NULL
42,1109V,1,1109,49.99,34.99,,,,,,,,,,,NULL,NULL
43,1109V_FBA,1,1109,49.99,39.99,,,,,,,,,,,NULL,NULL
44,1110,1,1110,59.99,44.99,,,,,,,,,,,NULL,NULL
45,1110V,1,1110,59.99,44.99,,,,,,,,,,,NULL,NULL
47,1111A,1,1111,69.99,54.99,,,,,,,,,,,NULL,NULL
48,1111A_FBA,1,1111,69.99,59.99,,,,,,,,,,,NULL,NULL
49,DUGFD10.5K,1,DUGFD10.5K,64.99,49.99,,,,,,,,,,,NULL,NULL
50,DUGFD10.5K,2,DUGFD10.5K,,,89.99,69.99,,,,,,,,,NULL,NULL
51,DUGFD10.5K,3,DUGFD10.5K,,,,,89.99,69.99,,,,,,,NULL,NULL
52,DUGFD10.5K_FBA,1,DUGFD10.5K,64.99,54.99,,,,,,,,,,,NULL,NULL
53,DUGFD10.5SK,1,DUGFD10.5SK,74.99,59.99,,,,,,,,,,,NULL,NULL
54,DUGFD10.5SK,2,DUGFD10.5SK,,,99.99,84.99,,,,,,,,,NULL,NULL
55,DUGFD10.5SK,3,DUGFD10.5SK,,,,,99.99,84.99,,,,,,,NULL,NULL
56,DUGFD10.5SKV,1,DUGFD10.5SK,74.99,59.99,,,,,,,,,,,NULL,NULL
57,DUGFD10.5SKV_FBA,1,DUGFD10.5SK,74.99,64.99,,,,,,,,,,,NULL,NULL
59,DUGFD13.5D,2,1110,,,79.99,59.99,,,,,,,,,NULL,NULL
60,DUGFD13.5D,3,1110,,,,,79.99,59.99,,,,,,,NULL,NULL
61,1110_FBA,1,1110,59.99,49.99,,,,,,,,,,,NULL,NULL
62,DUHFPC10.5DOUBL,1,DUHFPC10.5DOUBL,19.99,12.99,,,,,,,,,,,NULL,NULL
63,DUHFPC10.5DOUBL,2,DUHFPC10.5DOUBL,,,26.99,17.99,,,,,,,,,NULL,NULL
64,DUHFPC10.5DOUBL,3,DUHFPC10.5DOUBL,,,,,26.99,17.99,,,,,,,NULL,NULL
65,DUHFPC10.5DOUBL_FBA,1,DUHFPC10.5DOUBL,19.99,16.99,,,,,,,,,,,NULL,NULL
66,DUHFPC10.5KING,1,DUHFPC10.5KING,21.99,14.99,,,,,,,,,,,NULL,NULL
67,DUHFPC10.5KING,2,DUHFPC10.5KING,,,29.99,20.99,,,,,,,,,NULL,NULL
68,DUHFPC10.5KING,3,DUHFPC10.5KING,,,,,29.99,20.99,,,,,,,NULL,NULL
69,DUHFPC10.5KING_FBA,1,DUHFPC10.5KING,21.99,18.99,,,,,,,,,,,NULL,NULL
70,DUHFPC10.5SUPK1,1,DUHFPC10.5SUPK,24.99,18.99,,,,,,,,,,,NULL,NULL
71,DUHFPC10.5SUPK1_FBA,1,DUHFPC10.5SUPK,24.99,23.99,,,,,,,,,,,NULL,NULL
72,DUHFPC13.5DOUBL,1,DUHFPC13.5DOUBL,21.99,14.99,,,,,,,,,,,NULL,NULL
73,DUHFPC13.5DOUBL,2,DUHFPC13.5DOUBL,,,29.99,19.99,,,,,,,,,NULL,NULL
74,DUHFPC13.5DOUBL,3,DUHFPC13.5DOUBL,,,,,29.99,19.99,,,,,,,NULL,NULL
75,DUHFPC13.5DOUBL_FBA,1,DUHFPC13.5DOUBL,21.99,18.99,,,,,,,,,,,NULL,NULL
76,DUHFPC13.5SING1,1,DUHFPC13.5SING,19.99,11.99,,,,,,,,,,,NULL,NULL
77,DUHFPC13.5SING1_FBA,1,DUHFPC13.5SING,19.99,15.99,,,,,,,,,,,NULL,NULL
78,DUHFPC15DOUBL,1,DUHFPC15DOUBL,24.99,16.99,,,,,,,,,,,NULL,NULL
79,DUHFPC15DOUBL,2,DUHFPC15DOUBL,,,34.99,24.99,,,,,,,,,NULL,NULL
80,DUHFPC15DOUBL,3,DUHFPC15DOUBL,,,,,34.99,24.99,,,,,,,NULL,NULL
81,DUHFPC15DOUBL_FBA,1,DUHFPC15DOUBL,24.99,20.99,,,,,,,,,,,NULL,NULL
82,DUHPC10.5SING,1,DUHPC10.5SING,17.99,9.99,,,,,,,,,,,NULL,NULL
83,DUHPC10.5SING,2,DUHPC10.5SING,,,24.99,14.99,,,,,,,,,NULL,NULL
84,DUHPC10.5SING,3,DUHPC10.5SING,,,,,24.99,14.99,,,,,,,NULL,NULL
85,DUHPC10.5SING_FBA,1,DUHPC10.5SING,17.99,14.99,,,,,,,,,,,NULL,NULL
86,DUVGFD10.5SK,1,DUVGFD10.5SK,89.99,64.99,,,,,,,,,,,NULL,NULL
87,DUVGFD10.5SK,2,DUVGFD10.5SK,,,119.99,89.99,,,,,,,,,NULL,NULL
88,DUVGFD10.5SK,3,DUVGFD10.5SK,,,,,119.99,89.99,,,,,,,NULL,NULL
89,DUVGFD10.5SKV,1,DUVGFD10.5SK,89.99,64.99,,,,,,,,,,,NULL,NULL
90,DUVGFD10.5SKV_FBA,1,DUVGFD10.5SK,89.99,69.99,,,,,,,,,,,NULL,NULL
91,DUVGFDKID10.5,1,DUVGFDKID10.5,39.99,24.99,,,,,,,,,,,NULL,NULL
92,DUVGFDKID10.5,2,DUVGFDKID10.5,,,54.99,34.99,,,,,,,,,NULL,NULL
93,DUVGFDKID10.5,3,DUVGFDKID10.5,,,,,54.99,34.99,,,,,,,NULL,NULL
94,DUVGFDKID10.5_FBA,1,DUVGFDKID10.5,39.99,29.99,,,,,,,,,,,NULL,NULL
95,DUVMFBKID10.5,1,DUVMFBKID10.5,39.99,24.99,,,,,,,,,,,NULL,NULL
96,DUVMFBKID10.5,2,DUVMFBKID10.5,,,54.99,34.99,,,,,,,,,NULL,NULL
97,DUVMFBKID10.5,3,DUVMFBKID10.5,,,,,54.99,34.99,,,,,,,NULL,NULL
98,DUVMFBKID10.5_FBA,1,DUVMFBKID10.5,39.99,29.99,,,,,,,,,,,NULL,NULL
99,DUVMFBKID4.5A,1,DUVMFBKID4.5,34.99,22.99,,,,,,,,,,,NULL,NULL
100,DUVMFBKID4.5A_FBA,1,DUVMFBKID4.5,34.99,27.99,,,,,,,,,,,NULL,NULL
101,DUVPILMFB10.5KID,1,DUVPILMFB10.5KID,59.99,34.99,,,,,,,,,,,NULL,NULL
102,DUVPILMFB10.5KID,2,DUVPILMFB10.5KID,,,79.99,49.99,,,,,,,,,NULL,NULL
103,DUVPILMFB10.5KID,3,DUVPILMFB10.5KID,,,,,79.99,49.99,,,,,,,NULL,NULL
104,DUVPILMFB10.5KID_FBA,1,DUVPILMFB10.5KID,59.99,39.99,,,,,,,,,,,NULL,NULL
105,DUVPILMFB4.5KID,1,DUVPILMFB4.5KID,54.99,29.99,,,,,,,,,,,NULL,NULL
106,DUVPILMFB4.5KID,2,DUVPILMFB4.5KID,,,69.99,39.99,,,,,,,,,NULL,NULL
107,DUVPILMFB4.5KID,3,DUVPILMFB4.5KID,,,,,69.99,39.99,,,,,,,NULL,NULL
108,DUVPILMFB4.5KID_FBA,1,DUVPILMFB4.5KID,54.99,34.99,,,,,,,,,,,NULL,NULL
109,FBAKY08D6_unexpected_item_02,1,FEDU13.5SING,44.99,32.99,,,,,,,,,,,NULL,NULL
110,FBAKY08D6_unexpected_item_04,1,FEDU13.5DOUB,54.99,42.99,,,,,,,,,,,NULL,NULL
111,FEDU10.5D,1,FEDU10.5D,49.99,37.99,,,,,,,,,,,NULL,NULL
112,FEDU10.5D,2,FEDU10.5D,,,69.99,54.99,,,,,,,,,NULL,NULL
113,FEDU10.5D,3,FEDU10.5D,,,,,69.99,54.99,,,,,,,NULL,NULL
114,FEDU10.5D.1,1,FEDU10.5D,49.99,37.99,,,,,,,,,,,NULL,NULL
115,FEDU10.5D_FBA,1,FEDU10.5D,49.99,39.99,,,,,,,,,,,NULL,NULL
116,FEDU10.5K,1,FEDU10.5K,59.99,47.99,,,,,,,,,,,NULL,NULL
117,FEDU10.5K,2,FEDU10.5K,,,79.99,64.99,,,,,,,,,NULL,NULL
118,FEDU10.5K,3,FEDU10.5K,,,,,79.99,64.99,,,,,,,NULL,NULL
119,FEDU10.5K.1,1,FEDU10.5K,59.99,47.99,,,,,,,,,,,NULL,NULL
120,FEDU10.5K_FBA,1,FEDU10.5K,59.99,49.99,,,,,,,,,,,NULL,NULL
121,FEDU10.5S.1,1,FEDU10.5SA,39.99,27.99,,,,,,,,,,,NULL,NULL
122,FEDU10.5SA_FBA,1,FEDU10.5SA,39.99,29.99,,,,,,,,,,,NULL,NULL
123,FEDU10.5SK,1,FEDU10.5SK,69.99,57.99,,,,,,,,,,,NULL,NULL
124,FEDU10.5SK,3,FEDU10.5SK,,,,,99.99,79.99,,,,,,,NULL,NULL
125,FEDU10.5SK.1,1,FEDU10.5SK,69.99,57.99,,,,,,,,,,,NULL,NULL
126,FEDU10.5SKV,1,FEDU10.5SK,69.99,57.99,,,,,,,,,,,NULL,NULL
127,FEDU10.5SK_FBA,1,FEDU10.5SK,69.99,59.99,,,,,,,,,,,NULL,NULL
128,FEDU10.5SV,1,FEDU10.5SA,39.99,27.99,,,,,,,,,,,NULL,NULL
129,FEDU13.5DOUB,1,FEDU13.5DOUB,54.99,42.99,,,,,,,,,,,NULL,NULL
130,FEDU13.5DOUB,2,FEDU13.5DOUB,,,69.99,59.99,,,,,,,,,NULL,NULL
131,FEDU13.5DOUB,3,FEDU13.5DOUB,,,,,69.99,59.99,,,,,,,NULL,NULL
132,FEDU13.5KING_FBA,1,FEDU13.5KING,64.99,49.99,,,,,,,,,,,NULL,NULL
133,FEDU13.5SING,2,FEDU13.5SING,,,59.99,44.99,,,,,,,,,NULL,NULL
134,FEDU13.5SING,3,FEDU13.5SING,,,,,59.99,44.99,,,,,,,NULL,NULL
135,FEDU13.5SINGV,1,FEDU13.5SING,44.99,32.99,,,,,,,,,,,NULL,NULL
136,FEDU13.5SINGV_FBA,1,FEDU13.5SING,44.99,34.99,,,,,,,,,,,NULL,NULL
137,FEDU13.5SKVV,1,FEDUC10.5SK,74.99,61.99,,,,,,,,,,,NULL,NULL
138,FEDU15D,1,FEDU15D,69.99,55.99,,,,,,,,,,,NULL,NULL
139,FEDU15D,2,FEDU15D,,,89.99,74.99,,,,,,,,,NULL,NULL
140,FEDU15D,3,FEDU15D,,,,,89.99,74.99,,,,,,,NULL,NULL
141,FEDU15D_FBA,1,FEDU15D,69.99,59.99,,,,,,,,,,,NULL,NULL
142,FEDU15K,1,FEDU15K,79.99,65.99,,,,,,,,,,,NULL,NULL
143,FEDU15K,2,FEDU15K,,,109.99,89.99,,,,,,,,,NULL,NULL
144,FEDU15K,3,FEDU15K,,,,,109.99,89.99,,,,,,,NULL,NULL
145,FEDU15K_FBA,1,FEDU15K,79.99,69.99,,,,,,,,,,,NULL,NULL
146,FEDU15S,1,FEDU15S,54.99,44.99,,,,,,,,,,,NULL,NULL
147,FEDU15S,2,FEDU15S,,,69.99,54.99,,,,,,,,,NULL,NULL
148,FEDU15S,3,FEDU15S,,,,,69.99,54.99,,,,,,,NULL,NULL
149,FEDU15SK,1,FEDU15SK,94.99,75.99,,,,,,,,,,,NULL,NULL
150,FEDU15SK,2,FEDU15SK,,,129.99,104.99,,,,,,,,,NULL,NULL
151,FEDU15SK,3,FEDU15SK,,,,,129.99,104.99,,,,,,,NULL,NULL
152,FEDU15SK_FBA,1,FEDU15SK,94.99,79.99,,,,,,,,,,,NULL,NULL
153,FEDU15S_FBA,1,FEDU15S,54.99,49.99,,,,,,,,,,,NULL,NULL
154,FEDUALL9/4.5DV,1,FEDUALL9/4.5D,89.99,64.99,,,,,,,,,,,NULL,NULL
155,FEDUALL9/4.5D_FBA,1,FEDUALL9/4.5D,89.99,69.99,,,,,,,,,,,NULL,NULL
156,FEDUALL9/4.5K,1,FEDUALL9/4.5K,99.99,79.99,,,,,,,,,,,NULL,NULL
157,FEDUALL9/4.5K,2,FEDUALL9/4.5K,,,129.99,109.99,,,,,,,,,NULL,NULL
158,FEDUALL9/4.5K,3,FEDUALL9/4.5K,,,,,129.99,109.99,,,,,,,NULL,NULL
159,FEDUALL9/4.5K_FBA,1,FEDUALL9/4.5K,99.99,84.99,,,,,,,,,,,NULL,NULL
160,FEDUC10.5SK,1,FEDUC10.5SK,74.99,61.99,,,,,,,,,,,NULL,NULL
161,FEDUC10.5SK,2,FEDUC10.5SK,,,99.99,84.99,,,,,,,,,NULL,NULL
162,FEDUC10.5SK,3,FEDUC10.5SK,,,,,99.99,84.99,,,,,,,NULL,NULL
163,FEDUC10.5SKFBA,1,FEDUC10.5SK,74.99,64.99,,,,,,,,,,,NULL,NULL
164,GFDUVALLSEA-D,1,GFDUVALLSEA-D,99.99,69.99,,,,,,,,,,,NULL,NULL
165,GFDUVALLSEA-D,2,GFDUVALLSEA-D,,,129.99,94.99,,,,,,,,,NULL,NULL
166,GFDUVALLSEA-D,3,GFDUVALLSEA-D,,,,,129.99,94.99,,,,,,,NULL,NULL
167,GFDUVALLSEA-D_FBA,1,GFDUVALLSEA-D,99.99,74.99,,,,,,,,,,,NULL,NULL
168,GFDUVALLSEA-S,1,GFDUVALLSEA-S,79.99,54.99,,,,,,,,,,,NULL,NULL
169,GFDUVALLSEA-S,2,GFDUVALLSEA-S,,,109.99,74.99,,,,,,,,,NULL,NULL
170,GFDUVALLSEA-S,3,GFDUVALLSEA-S,,,,,109.99,74.99,,,,,,,NULL,NULL
171,GFDUVALLSEA-SK,1,GFDUVALLSEA-SK,119.99,94.99,,,,,,,,,,,NULL,NULL
172,GFDUVALLSEA-SK,2,GFDUVALLSEA-SK,,,159.99,129.99,,,,,,,,,NULL,NULL
173,GFDUVALLSEA-SK,3,GFDUVALLSEA-SK,,,,,159.99,129.99,,,,,,,NULL,NULL
174,GFDUVALLSEA-SK_FBA,1,GFDUVALLSEA-SK,119.99,99.99,,,,,,,,,,,NULL,NULL
175,GFDUVALLSEA-S_FBA,1,GFDUVALLSEA-S,79.99,59.99,,,,,,,,,,,NULL,NULL
176,H-HFDUVET15K,1,HFDUVET15K,26.99,18.99,,,,,,,,,,,NULL,NULL
177,H-HFDUVET15K_FBA,1,HFDUVET15K,26.99,22.99,,,,,,,,,,,NULL,NULL
178,HFDU13.5K,1,HFDU13.5K,23.99,16.99,,,,,,,,,,,NULL,NULL
179,HFDU13.5K,2,HFDU13.5K,,,34.99,24.99,,,,,,,,,NULL,NULL
180,HFDU13.5K,3,HFDU13.5K,,,,,34.99,24.99,,,,,,,NULL,NULL
181,HFDU13.5K_FBA,1,HFDU13.5K,23.99,20.99,,,,,,,,,,,NULL,NULL
182,HFDU13.5SK,1,HFDU13.5SK,27.99,19.99,,,,,,,,,,,NULL,NULL
183,HFDU13.5SK,2,HFDU13.5SK,,,39.99,27.99,,,,,,,,,NULL,NULL
184,HFDU13.5SK,3,HFDU13.5SK,,,,,39.99,27.99,,,,,,,NULL,NULL
185,HFDU13.5SK_FBA,1,HFDU13.5SK,27.99,24.99,,,,,,,,,,,NULL,NULL
186,HFDU4.5D,1,HFDU4.5D,18.99,11.99,,,,,,,,,,,NULL,NULL
187,HFDU4.5D,2,HFDU4.5D,,,25.99,16.99,,,,,,,,,NULL,NULL
188,HFDU4.5D,3,HFDU4.5D,,,,,25.99,16.99,,,,,,,NULL,NULL
189,HFDU4.5D_FBA,1,HFDU4.5D,18.99,15.99,,,,,,,,,,,NULL,NULL
190,HFDU4.5K,1,HFDU4.5K,20.99,13.99,,,,,,,,,,,NULL,NULL
191,HFDU4.5K,2,HFDU4.5K,,,28.99,19.99,,,,,,,,,NULL,NULL
192,HFDU4.5K,3,HFDU4.5K,,,,,28.99,19.99,,,,,,,NULL,NULL
193,HFDU4.5K_FBA,1,HFDU4.5K,20.99,17.99,,,,,,,,,,,NULL,NULL
194,HFDU4.5S,1,HFDU4.5S,16.99,9.99,,,,,,,,,,,NULL,NULL
195,HFDU4.5S,2,HFDU4.5S,,,23.99,13.99,,,,,,,,,NULL,NULL
196,HFDU4.5S,3,HFDU4.5S,,,,,23.99,13.99,,,,,,,NULL,NULL
197,HFDU4.5SK,1,HFDU4.5SK,23.99,17.99,,,,,,,,,,,NULL,NULL
198,HFDU4.5SK,2,HFDU4.5SK,,,32.99,24.99,,,,,,,,,NULL,NULL
199,HFDU4.5SK,3,HFDU4.5SK,,,,,32.99,24.99,,,,,,,NULL,NULL
200,HFDU4.5SK_FBA,1,HFDU4.5SK,23.99,22.99,,,,,,,,,,,NULL,NULL
201,HFDU4.5S_FBA,1,HFDU4.5S,16.99,14.99,,,,,,,,,,,NULL,NULL
202,HSDUDF1351,1,FEDU13.5SING,44.99,32.99,,,,,,,,,,,NULL,NULL
203,HSDUDF1352,1,FEDU13.5DOUB,54.99,42.99,,,,,,,,,,,NULL,NULL
204,HSDUDF1352_FBA,1,FEDU13.5DOUB,54.99,44.99,,,,,,,,,,,NULL,NULL
205,HSDUDF1353,1,FEDU13.5KING,64.99,47.99,,,,,,,,,,,NULL,NULL
206,HSDUDF1354,1,FEDUC10.5SK,74.99,61.99,,,,,,,,,,,NULL,NULL
207,HSDUGF1051,1,HSDUGF1051,44.99,29.99,,,,,,,,,,,NULL,NULL
208,HSDUGF1051,3,HSDUGF1051,,,,,59.99,44.99,,,,,,,NULL,NULL
209,HSDUGF1051V,1,HSDUGF1051,44.99,29.99,,,,,,,,,,,NULL,NULL
210,HSDUGF1051V_FBA,1,HSDUGF1051,44.99,34.99,,,,,,,,,,,NULL,NULL
211,HSDUGF1052,1,HSDUGF1052,54.99,39.99,,,,,,,,,,,NULL,NULL
212,HSDUGF1052,3,HSDUGF1052,,,,,69.99,54.99,,,,,,,NULL,NULL
213,HSDUGF1052V,1,HSDUGF1052,54.99,39.99,,,,,,,,,,,NULL,NULL
214,HSDUGF1052V_FBA,1,HSDUGF1052,54.99,44.99,,,,,,,,,,,NULL,NULL
215,HSDUGF4501,1,HSDUGF4501,34.99,24.99,,,,,,,,,,,NULL,NULL
217,HSDUGF4501_FBA,1,HSDUGF4501,34.99,29.99,,,,,,,,,,,NULL,NULL
218,HSDUGF4502,1,HSDUGF4502,44.99,29.99,,,,,,,,,,,NULL,NULL
219,HSDUGF4502,3,HSDUGF4502,,,,,59.99,39.99,,,,,,,NULL,NULL
220,HSDUGF4502V1,1,HSDUGF4502,44.99,29.99,,,,,,,,,,,NULL,NULL
221,HSDUGF4502_FBA,1,HSDUGF4502,44.99,34.99,,,,,,,,,,,NULL,NULL
222,HSDUGF4503,1,HSDUGF4503,54.99,39.99,,,,,,,,,,,NULL,NULL
223,HSDUGF4503,3,HSDUGF4503,,,,,79.99,54.99,,,,,,,NULL,NULL
224,HSDUGF4503V1,1,HSDUGF4503,54.99,39.99,,,,,,,,,,,NULL,NULL
225,HSDUGF4503_FBA,1,HSDUGF4503,54.99,44.99,,,,,,,,,,,NULL,NULL
226,HSDUGF4504,1,HSDUGF4504,69.99,54.99,,,,,,,,,,,NULL,NULL
227,HSDUGF4504,2,HSDUGF4504,,,89.99,74.99,,,,,,,,,NULL,NULL
228,HSDUGF4504,3,HSDUGF4504,,,,,89.99,74.99,,,,,,,NULL,NULL
229,HSDUGF4504V1,1,HSDUGF4504,69.99,54.99,,,,,,,,,,,NULL,NULL
230,HSDUGF4504V1_FBA,1,HSDUGF4504,69.99,59.99,,,,,,,,,,,NULL,NULL
232,HSDUMFAS02,2,HSDUMFAS02,,,104.99,69.99,,,,,,,,,NULL,NULL
233,HSDUMFAS02,3,HSDUMFAS02,,,,,104.99,69.99,,,,,,,NULL,NULL
235,HSDUMFAS02.7,1,HSDUMFAS02,79.99,49.99,,,,,,,,,,,NULL,NULL
236,HSDUMFAS02B,3,HSDUMFAS02,,,,,104.99,69.99,,,,,,,NULL,NULL
237,HSDUMFAS02_FBA,1,HSDUMFAS02,79.99,54.99,,,,,,,,,,,NULL,NULL
239,HSDUMFAS03,2,HSDUMFAS03,,,119.99,89.99,,,,,,,,,NULL,NULL
240,HSDUMFAS03,3,HSDUMFAS03,,,,,119.99,89.99,,,,,,,NULL,NULL
241,HSDUMFAS03.5,1,HSDUMFAS03,89.99,64.99,,,,,,,,,,,NULL,NULL
242,HSDUMFAS03B,3,HSDUMFAS03,,,,,119.99,89.99,,,,,,,NULL,NULL
243,HSDUMFAS03_FBA,1,HSDUMFAS03,89.99,69.99,,,,,,,,,,,NULL,NULL
244,KWV65CombiD,1,FEDUALL9/4.5D,89.99,64.99,,,,,,,,,,,NULL,NULL
245,MFDU4.5D.5,1,MFDU4.5D,39.99,24.99,,,,,,,,,,,NULL,NULL
246,MFDU4.5D,2,MFDU4.5D,,,54.99,34.99,,,,,,,,,NULL,NULL
247,MFDU4.5D,3,MFDU4.5D,,,,,54.99,34.99,,,,,,,NULL,NULL
248,MFDU4.5D_FBA,1,MFDU4.5D,39.99,29.99,,,,,,,,,,,NULL,NULL
250,MFDU4.5K,2,MFDU4.5K,,,64.99,39.99,,,,,,,,,NULL,NULL
251,MFDU4.5K,3,MFDU4.5K,,,,,64.99,39.99,,,,,,,NULL,NULL
252,MFDU4.5K.5,1,MFDU4.5K,49.99,29.99,,,,,,,,,,,NULL,NULL
253,MFDU4.5K_FBA,1,MFDU4.5K,49.99,34.99,,,,,,,,,,,NULL,NULL
255,MFDU4.5S,2,MFDU4.5S,,,44.99,27.99,,,,,,,,,NULL,NULL
256,MFDU4.5S,3,MFDU4.5S,,,,,44.99,27.99,,,,,,,NULL,NULL
257,MFDU4.5S.11,1,MFDU4.5S,34.99,19.99,,,,,,,,,,,NULL,NULL
259,MFDU4.5SK,2,MFDU4.5SK,,,79.99,49.99,,,,,,,,,NULL,NULL
260,MFDU4.5SK,3,MFDU4.5SK,,,,,79.99,49.99,,,,,,,NULL,NULL
261,MFDU4.5SK.5,1,MFDU4.5SK,59.99,34.99,,,,,,,,,,,NULL,NULL
262,MFDU4.5SK_FBA,1,MFDU4.5SK,59.99,39.99,,,,,,,,,,,NULL,NULL
263,MFDU4.5S_FBA,1,MFDU4.5S,34.99,24.99,,,,,,,,,,,NULL,NULL
265,MFDUALL9/4.5S,2,MFDUALL9/4.5S,,,89.99,59.99,,,,,,,,,NULL,NULL
266,MFDUALL9/4.5S,3,MFDUALL9/4.5S,,,,,89.99,59.99,,,,,,,NULL,NULL
269,MFDUALL9/4.5SB,3,MFDUALL9/4.5S,,,,,89.99,59.99,,,,,,,NULL,NULL
270,MFDUALL9/4.5SB_FBA,1,MFDUALL9/4.5S,69.99,44.99,,,,,,,,,,,NULL,NULL
271,MFDUALL9/4.5SK.6,1,MFDUALL9/4.5SK,99.99,74.99,,,,,,,,,,,NULL,NULL
272,MFDUALL9/4.5SKB,3,MFDUALL9/4.5SK,,,,,129.99,104.99,,,,,,,NULL,NULL
273,MFDUALL9/4.5SKB_FBA,1,MFDUALL9/4.5SK,99.99,79.99,,,,,,,,,,,NULL,NULL
274,MFDUALL9/4.5S_FBA,1,MFDUALL9/4.5S,69.99,44.99,,,,,,,,,,,NULL,NULL
275,WOOLDUV200D,1,WOOLDUV200D,89.99,49.99,,,,,,,,,,,NULL,NULL
276,WOOLDUV200D-FBA1,1,WOOLDUV200D,89.99,54.9,,,,,,,,,,,NULL,NULL
277,WOOLDUV200K,1,WOOLDUV200K,109.99,59.99,,,,,,,,,,,NULL,NULL
278,WOOLDUV200K-FBA1,1,WOOLDUV200K,109.99,64.9,,,,,,,,,,,NULL,NULL
279,WOOLDUV200S,1,WOOLDUV200S,79.99,39.99,,,,,,,,,,,NULL,NULL
280,WOOLDUV200S-FBA1,1,WOOLDUV200S,79.99,43.99,,,,,,,,,,,NULL,NULL
281,WOOLDUV200SK,1,WOOLDUV200SK,119.99,69.99,,,,,,,,,,,NULL,NULL
282,WOOLDUV200SK-FBA1,1,WOOLDUV200SK,119.99,74.9,,,,,,,,,,,NULL,NULL
283,WOOLDUV400D,1,WOOLDUV400D,99.99,59.99,,,,,,,,,,,NULL,NULL
284,WOOLDUV400D-FBA,1,WOOLDUV400D,99.99,64.9,,,,,,,,,,,NULL,NULL
285,WOOLDUV400K,1,WOOLDUV400K,119.99,74.99,,,,,,,,,,,NULL,NULL
286,WOOLDUV400K-FBA,1,WOOLDUV400K,119.99,78.9,,,,,,,,,,,NULL,NULL
287,WOOLDUV400S,1,WOOLDUV400S,89.99,49.99,,,,,,,,,,,NULL,NULL
288,WOOLDUV400S-FBA,1,WOOLDUV400S,89.99,54.9,,,,,,,,,,,NULL,NULL
289,WOOLDUV400SK,1,WOOLDUV400SK,129.99,84.99,,,,,,,,,,,NULL,NULL
290,WOOLDUV400SK-FBA,1,WOOLDUV400SK,129.99,88.9,,,,,,,,,,,NULL,NULL
291,DUHF15SUPERKING1,1,DUHF15SUPERKING,29.99,21.99,,,,,,,,,,,NULL,NULL
292,DUHF15SUPERKING1_FBA,1,DUHF15SUPERKING,29.99,26.99,,,,,,,,,,,NULL,NULL
293,DUHFPC15SING,1,DUHFPC15SING,21.99,14.99,,,,,,,,,,,NULL,NULL
294,DUHFPC15SING,2,DUHFPC15SING,,,29.99,19.99,,,,,,,,,NULL,NULL
295,DUHFPC15SING,3,DUHFPC15SING,,,,,29.99,19.99,,,,,,,NULL,NULL
296,DUHFPC15SING_FBA,1,DUHFPC15SING,21.99,18.99,,,,,,,,,,,NULL,NULL
